,Company,Position,Connected On,Full Name
176,Sicredi Força dos Ventos,Marketing,02 May 2024,Brian Sims
177,Café.art.br,Designer e sócio,02 May 2024,Amy Chang
178,Mentora de Marketing,Estrategista de marketing e Líder de Equipe,02 May 2024,Linda Decker
179,Folha de S.Paulo,Product Designer Pleno,02 May 2024,Gavin Gardner
180,Conversion,Redação SEO e Copywriting,02 May 2024,Alexis Rangel
181,Rethink,Head of Design,02 May 2024,Jacob Goodman
182,Swile Brésil,Analyste en Marketing de Contenu,02 May 2024,Clayton Hernandez
183,Geledés Instituto da Mulher Negra,Jornalista,02 May 2024,Jacob Wilson
184,Hospital Santa Cruz,Jovem aprendiz,02 May 2024,Arthur Gonzalez
185,Serenas,Consultora de design,02 May 2024,Gloria Schneider
186,YDUQS,Product Designer,02 May 2024,Victoria Barry
187,FSB Comunicação,Diretor de Arte Sênior  ,02 May 2024,Michael Rogers
188,Sensorama Design,Design Manager,02 May 2024,Shelia Smith
189,SiqueiraCastro,Analista de Marketing & Design,02 May 2024,Isabel Hernandez
190,Nacional Comunicação ,Redatora,02 May 2024,Steven Clark
191,BookSports,Chief Marketing Officer,02 May 2024,John Johnson
192,Seja AP,Designer gráfico sênior,02 May 2024,Brandon Anthony
193,Sistema Fiep,Designer,02 May 2024,Lisa Adams
194,Neogrid,Gerente de Design,01 May 2024,Linda House
195,Google,Senior Visual Designer SP/SF,01 May 2024,Jessica Livingston
196,Bel,Product Designer,01 May 2024,Jenna Thomas
197,Freelance,Ilustradora | Designer | Diretora de Arte,01 May 2024,Philip Richardson
198,Hub Rocket,Designer multimídia,01 May 2024,Jennifer Mack
199,Ondaro Brasil (formerly Cask),Resource Manager | Workforce Manager,01 May 2024,Joshua Davis
200,Nubank,Design Manager III,01 May 2024,Morgan Rivas
201,Nearsure,Senior Product Designer,01 May 2024,Anthony Franklin
202,iFood,Design Manager,01 May 2024,Tara Brown
203,Kamino,Senior Product Designer,01 May 2024,Erin Burnett
204,gen_c,CEO,01 May 2024,Edward Hall
205,Banco PAN,Senior Product Designer,01 May 2024,Steven Sims
206,Econodata,Marketing Specialist,01 May 2024,Dale Turner
207,CAIXA,Product Designer,01 May 2024,Dana Macdonald
208,Linx,Designer Sênior | Branding,01 May 2024,Jennifer Morales
209,Two Machines,Product & Design Manager,01 May 2024,Shawn Richard
210,SoftDesign,Lead Product Designer,01 May 2024,Richard Johnson
211,Duloren Indústria e Comércio S.A.,Designer pleno,01 May 2024,Charles Brandt
212,W25,Web designer,01 May 2024,Angela Ball
213,Capco,Assistente administrativo,01 May 2024,Juan Cole
214,Itaú Unibanco,Analista de Engenharia TI PL,01 May 2024,Sarah Clay
215,Instituto Talanoa,"Especialista em comunicação, design e infografia",01 May 2024,Laura Johnson
216,Score Group Brasil,Designer sênior,01 May 2024,Jennifer Vasquez
217,Jusbrasil,Líder de Design - Jus Soluções,01 May 2024,Anthony Best
218,Mercado Livre Brasil, SSr Data Scientist,01 May 2024,Randall Peterson
219,Victoria’s Secret & Co.,"Print Stylist | Color & Print | Swim, VSX & Accessories",01 May 2024,William Thomas
220,DPZ,Content VP,01 May 2024,James Gonzalez
221,Vivo (Telefônica Brasil),Design Manager,01 May 2024,Dr. Lauren Bush
222,Norsk Hydro,Analista Senior de Inovação Digital,01 May 2024,Regina Gonzalez MD
223,Accenture Brasil,Design Lead Specialist,01 May 2024,Alexander Thomas DDS
224,NerdWallet,Senior Product Designer,01 May 2024,Christine French
225,Sensedia,Product Design Lead ,01 May 2024,Kyle Palmer
226,banco BV,Assistente Administrativo Sr | UX Designer,01 May 2024,Paul Brooks
227,Bel,Designer gráfico,01 May 2024,Jeff Edwards
228,Revista Eletrônica de Administração (REAd),Editora-Chefe,01 May 2024,Amy Jackson
229,BAMHUB MEDIA - Brasil,Lead Designer and Art Director,01 May 2024,James Price
230,Involves,Product Designer,01 May 2024,Susan Mclaughlin
231,Maxmilhas,Designer de Produto,01 May 2024,Peter Huffman DDS
232,Needs Marketing ESG,Designer gráfico,01 May 2024,Tanner York
233,ESPN,Editor de Texto I.,01 May 2024,Maria Campbell
234,IBM,UX Designer and Project Manager ,01 May 2024,Linda Chambers
235,MOTIM,Redatora de conteúdo,01 May 2024,Luis Evans
236,Samsung Electronics,Jr. Manager  |  UX Strategy Leader,01 May 2024,Lisa White
237,Canvi - Automação de Pagamento,Designer gráfico,01 May 2024,Sarah Smith
238,Santander Brazil,Specialist Product Designer - Investments ,01 May 2024,Sharon Green
239,Vivo (Telefônica Brasil),Content Design Lead - Ops,01 May 2024,Kathryn Lewis PhD
240,Freelance,Designer gráfica freelancer,01 May 2024,Jill Mathews
241,Rede Globo,Designer Infografista / Infographic designer,01 May 2024,Michael Hernandez
242,Wipro Limited,Internal & Corporate Communications for Americas,01 May 2024,Kevin Yates
243,Stone,Designer,01 May 2024,Stacy Kennedy
244,TeamSoft Tecnologia e Sistemas,Product Designer,01 May 2024,Sierra Ball
245,JSystem Software Quality,Analista de teste/QA,01 May 2024,Jessica Black
246,Nubank,Senior Creative Manager / Creative Director,01 May 2024,Brandi Lopez
247,RH Mattos,Coordenadora de recrutamento e seleção,30 Apr 2024,Denise Castillo
248,LIVE The Agency,Sênior Graphic Designer & Art Director ,30 Apr 2024,Cathy Salinas
249,Compass.uol,Head Of Account Management,30 Apr 2024,Colin Zamora
250,Freelance,Designer freelancer,30 Apr 2024,Lori Montgomery
251,iFood,Strategic Account Executive,30 Apr 2024,Scott Mitchell
252,Revelo,Tech Recruiter,30 Apr 2024,Priscilla Pierce
253,Mercado Livre,Senior Product Designer,30 Apr 2024,Daniel Wilkins
254,Roquette,Head of Marketing and Capsules - LATAM,29 Apr 2024,Lori Watson
255,Estúdio Arielle Martins,Diretor de criação,29 Apr 2024,Stephen Shields
256,Winover Contact Center,Analista de Recrutamento e Seleção Pleno,29 Apr 2024,Rebecca Cummings
257,InovaTec UFSM ,Designer gráfico,29 Apr 2024,Christine Villarreal
258,Instituto Conhecimento Liberta,Designer Pleno,29 Apr 2024,Shawn Brown
259,Estúdio Drama,Designer Cofundadora,29 Apr 2024,Virginia Dorsey
260,Sicredi,Analista e Desenvolvedor de Sistemas II,29 Apr 2024,Anthony Bell
261,Oniz Distribuidora Ltda,Analista de RH,29 Apr 2024,Robert Phillips
262,Me Poupe!,Assessora Pessoal,28 Apr 2024,Mr. Kenneth Hill
263,La Minna Ilustração,Ilustradora,28 Apr 2024,Chad Knight
264,Sicredi,Analista de Business Intelligence II,28 Apr 2024,Laura Drake
265,Arquipélago - estratégias e culturas que transformam,CEO e Cofundador,28 Apr 2024,William Payne
266,LOI | Global Creator Marketing Agency,Analista de RH,27 Apr 2024,Richard Ramirez
267,Japas Cervejaria,Assistente de arte,27 Apr 2024,Valerie Rowland
268,Smart GR,Product Designer,27 Apr 2024,Stacey Luna
269,Daki,Creative Director,27 Apr 2024,Nicole Phillips
270,Grupo Vorp,Social Media Intern,27 Apr 2024,David Morgan
271,Portal da Cidade,Jornalista,27 Apr 2024,Angel Perez
272,Ago Social,Gestora de Projetos,27 Apr 2024,Robert Stevens
273,iFood,Senior Product Designer,27 Apr 2024,Anthony Mack
274,Sicredi,Gerente de marketing e Growth,27 Apr 2024,William Bowen
275,iFood,Head of Product Design,27 Apr 2024,Gina Estrada
276,Freelance,Illustrator,27 Apr 2024,Christopher Copeland
277,Itaú Unibanco,Design System Sênior,27 Apr 2024,Julian Cook
278,Getnet,Product Owner Sênior - Global,27 Apr 2024,Erin Fields
279,iFood,Staff Designer,27 Apr 2024,Brittany Sanders
280,Globo,Senior Creative Strategist,26 Apr 2024,Frederick Rowland
281,L3B Branding,Fundadora,26 Apr 2024,Laura Lloyd
282,Sami,Product Designer,26 Apr 2024,Justin Cole
283,Pier Seguradora,Senior Product Designer  | Distribution Channels,26 Apr 2024,Lisa Smith
284,Nubank,Senior Marketing Manager,26 Apr 2024,Heather Levy
285,the map.,Founder & CMO,26 Apr 2024,Joshua Pennington
286,Grupo RBS,Product Owner,26 Apr 2024,Gregory Black
287,Grupo RBS,Coordenadora de Produto Digital,26 Apr 2024,Michelle Mccarthy
288,Nubank,Senior Software Engineer,26 Apr 2024,Carol Adams
289,Sanremo S/A - Uma empresa InBetta,Analista de Marketing de Produtos,26 Apr 2024,Melissa Lawrence
290,GeekHunter,Tech Recruiter ,26 Apr 2024,Crystal Dixon
291,CPFL Energia,Analista de Serviços de Recrutamento e selecao PL.,26 Apr 2024,Michelle Ramirez
292,Grupo RBS,Gerente de negócios,26 Apr 2024,Adam Carpenter
293,Pismo,Talent Acquisition Associate,26 Apr 2024,William Stephens
294,Sicredi Botucarai RS/MG,Presidente,26 Apr 2024,Jessica Larson
295,Analítica 3M,Consultor | Cientista de dados | B.I,26 Apr 2024,Jonathan Hogan
296,Staring Digital & Business,Founder & Head de Marketing,26 Apr 2024,Jade Barnes
297,Cresol Cooperativa,"Supervisora de Comunicação, Marketing e Relacionamento",26 Apr 2024,Dylan Sanders
298,Autônomo,Psicóloga clínica,26 Apr 2024,Caitlin Dawson
299,Grupo RBS,Analista de RH,26 Apr 2024,Victoria Roy
300,CWI Software,Tech Recruiter,26 Apr 2024,Michael Brooks
301,Grupo RBS,Coordenadora de comunicação,26 Apr 2024,David Turner
302,CAS RH,Analista de recrutamento e seleção,25 Apr 2024,Nathaniel Day
303,iFood,Content Designer Ops Sênior ,25 Apr 2024,Molly Long
304,Elevve Marketing Estrategico,Fundador,25 Apr 2024,Emily Johns
305,RH Center Gestão de Pessoas,Consultora de Seleção I,25 Apr 2024,Jon Johnson
306,Autônomo,Psicólogo clínico,25 Apr 2024,Alexandria Patrick
307,Grupo RBS,Product Owner,25 Apr 2024,Brandy Sweeney
308,Randstad Brasil,Analista de recrutamento e seleção,25 Apr 2024,Michael Wilkerson
309,Decision ,Analista de RH Sênior - Headhunter - Tech Recruiter Specialist - Gestão de Pessoas,25 Apr 2024,Brenda Galvan
310,Sicredi,Gerente de Gestão de Pessoas,25 Apr 2024,Lisa Williams
311,Pmweb,Talent Acquisition SR | Tech Recruiter ,25 Apr 2024,Jo Singleton
312,Grupo RBS,Analista de Marketing e Produto III,25 Apr 2024,Roy Ashley
313,Datum ,Talent Acquistion | Tech Recruiter Pleno,25 Apr 2024,Amy Avila
314,Konsi,Sr. Tech Recruiter / People Partner,25 Apr 2024,Jessica Waters
315,Play! Carreiras & Negócios,Assistente geral,25 Apr 2024,Willie Hall
316,The Growth Hub,Especialista Product Growth,25 Apr 2024,Isaac Nash
317,4U EdTech,Analista de marketing sênior,25 Apr 2024,John Nelson
318,Grupo RBS,Analista de marketing,25 Apr 2024,Linda Huff
319,Bradesco,Coordenador de RH,25 Apr 2024,Leslie Bell
320,Sicredi Região Centro RS/MG,Assessora de Comunição e Marketing,25 Apr 2024,Latoya Smith
321,Universidade do Vale do Rio dos Sinos,Pesquisador,25 Apr 2024,Joseph Warren
322,Grupo SOMA,Product Designer Pleno ,25 Apr 2024,Brent Reyes
323,Sicredi Centro Oeste Paulista,Analista de marketing,25 Apr 2024,Kathryn Wu
324,Marlabs Brasil,Analista de Recrutamento e Seleção Bilíngue na Malabs Brasil,25 Apr 2024,Justin Martinez
325,DUX Company,Analista Sênior em Marketing de Comunicação,25 Apr 2024,Ronald Clark
326,AGCO Corporation,Tech Recruiter,25 Apr 2024,Kenneth Martin
327,Digix,Product Designer Pleno,25 Apr 2024,Kelly Ramirez
328,Affilired,Sales Development Representative,25 Apr 2024,Tamara Wong MD
329,Innova Sfera,Desenvolvedor Frontend Sênior ,25 Apr 2024,Martha Daniels
330,QuintoAndar,Analista de Marketing e Performance,25 Apr 2024,Shawna Garcia
331,Sicoob Três Fronteiras,Gerente de relacionamento PF,25 Apr 2024,Michael Velez
332,Espaço Terapêutico,Psicóloga,25 Apr 2024,Cynthia Stevens
333,Mago I Material Agora,CEO e Founder,25 Apr 2024,Brianna Douglas
334,Eleflow Big Data,Tech Recruiter ,25 Apr 2024,Jessica Fuller
335,Agile Directive,Tech Recruiter,25 Apr 2024,Susan Hopkins DVM
